[ 2014-11-10T10:22:12+08:00 ] /test/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run ShowPageTrace Behavior [ RunTime:0.002969s ]
[ 2014-11-10T10:22:12+08:00 ] /test/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_end ] --END-- [ RunTime:0.003112s ]
[ 2014-11-10T10:22:19+08:00 ] /test/admin.php/Login/index/ | INFO: Tag[ route_check ] --START--
[ 2014-11-10T10:22:19+08:00 ] /test/admin.php/Login/index/ | INFO: Run CheckRoute Behavior [ RunTime:0.002634s ]
[ 2014-11-10T10:22:19+08:00 ] /test/admin.php/Login/index/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.002890s ]
[ 2014-11-10T10:22:19+08:00 ] /test/admin.php/Login/index/ | INFO: Tag[ app_begin ] --START--
[ 2014-11-10T10:22:19+08:00 ] /test/admin.php/Login/index/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001632s ]
[ 2014-11-10T10:22:19+08:00 ] /test/admin.php/Login/index/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001777s ]
[ 2014-11-10T10:22:19+08:00 ] /test/admin.php/Login/index/ | INFO: Tag[ view_template ] --START--
[ 2014-11-10T10:22:19+08:00 ] /test/admin.php/Login/index/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001165s ]
[ 2014-11-10T10:22:19+08:00 ] /test/admin.php/Login/index/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001333s ]
[ 2014-11-10T10:22:19+08:00 ] /test/admin.php/Login/index/ | INFO: Tag[ view_parse ] --START--
[ 2014-11-10T10:22:19+08:00 ] /test/admin.php/Login/index/ | INFO: Run ParseTemplate Behavior [ RunTime:0.028729s ]
[ 2014-11-10T10:22:19+08:00 ] /test/admin.php/Login/index/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.028918s ]
[ 2014-11-10T10:22:19+08:00 ] /test/admin.php/Login/index/ | INFO: Tag[ view_filter ] --START--
[ 2014-11-10T10:22:19+08:00 ] /test/admin.php/Login/index/ | INFO: Run ContentReplace Behavior [ RunTime:0.001106s ]
[ 2014-11-10T10:22:19+08:00 ] /test/admin.php/Login/index/ | INFO: Run TokenBuild Behavior [ RunTime:0.001234s ]
[ 2014-11-10T10:22:19+08:00 ] /test/admin.php/Login/index/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000772s ]
[ 2014-11-10T10:22:19+08:00 ] /test/admin.php/Login/index/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001626s ]
[ 2014-11-10T10:22:19+08:00 ] /test/admin.php/Login/index/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005138s ]
[ 2014-11-10T10:22:19+08:00 ] /test/admin.php/Login/index/ | INFO: Tag[ view_end ] --START--
[ 2014-11-10T10:22:19+08:00 ] /test/admin.php/Login/index/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001369s ]
[ 2014-11-10T10:22:19+08:00 ] /test/admin.php/Login/index/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001510s ]
[ 2014-11-10T10:22:20+08:00 ] /test/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ route_check ] --START--
[ 2014-11-10T10:22:20+08:00 ] /test/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run CheckRoute Behavior [ RunTime:0.003259s ]
[ 2014-11-10T10:22:20+08:00 ] /test/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ route_check ] --END-- [ RunTime:0.003573s ]
[ 2014-11-10T10:22:20+08:00 ] /test/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ app_begin ] --START--
[ 2014-11-10T10:22:20+08:00 ] /test/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002001s ]
[ 2014-11-10T10:22:20+08:00 ] /test/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002215s ]
[ 2014-11-10T10:22:20+08:00 ] /test/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_template ] --START--
[ 2014-11-10T10:22:20+08:00 ] /test/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run LocationTemplate Behavior [ RunTime:0.001533s ]
[ 2014-11-10T10:22:20+08:00 ] /test/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_template ] --END-- [ RunTime:0.001759s ]
[ 2014-11-10T10:22:20+08:00 ] /test/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_parse ] --START--
[ 2014-11-10T10:22:20+08:00 ] /test/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run ParseTemplate Behavior [ RunTime:0.023305s ]
[ 2014-11-10T10:22:20+08:00 ] /test/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_parse ] --END-- [ RunTime:0.023534s ]
[ 2014-11-10T10:22:20+08:00 ] /test/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_filter ] --START--
[ 2014-11-10T10:22:20+08:00 ] /test/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run ContentReplace Behavior [ RunTime:0.001175s ]
[ 2014-11-10T10:22:20+08:00 ] /test/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run TokenBuild Behavior [ RunTime:0.001236s ]
[ 2014-11-10T10:22:20+08:00 ] /test/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000744s ]
[ 2014-11-10T10:22:20+08:00 ] /test/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run ShowRuntime Behavior [ RunTime:0.001298s ]
[ 2014-11-10T10:22:20+08:00 ] /test/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004863s ]
[ 2014-11-10T10:22:20+08:00 ] /test/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_end ] --START--
[ 2014-11-10T10:22:20+08:00 ] /test/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run ShowPageTrace Behavior [ RunTime:0.001246s ]
[ 2014-11-10T10:22:20+08:00 ] /test/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_end ] --END-- [ RunTime:0.001376s ]
[ 2014-11-10T10:22:20+08:00 ] /test/admin.php/Common/verify | INFO: Tag[ route_check ] --START--
[ 2014-11-10T10:22:20+08:00 ] /test/admin.php/Common/verify | INFO: Run CheckRoute Behavior [ RunTime:0.002345s ]
[ 2014-11-10T10:22:20+08:00 ] /test/admin.php/Common/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.002549s ]
[ 2014-11-10T10:22:20+08:00 ] /test/admin.php/Common/verify | INFO: Tag[ app_begin ] --START--
[ 2014-11-10T10:22:20+08:00 ] /test/admin.php/Common/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001405s ]
[ 2014-11-10T10:22:20+08:00 ] /test/admin.php/Common/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001535s ]
[ 2014-11-10T10:22:54+08:00 ] /test/admin.php/Index/index/username/ruby97 | INFO: Tag[ route_check ] --START--
[ 2014-11-10T10:22:54+08:00 ] /test/admin.php/Index/index/username/ruby97 | INFO: Run CheckRoute Behavior [ RunTime:0.002466s ]
[ 2014-11-10T10:22:54+08:00 ] /test/admin.php/Index/index/username/ruby97 | INFO: Tag[ route_check ] --END-- [ RunTime:0.002682s ]
[ 2014-11-10T10:22:54+08:00 ] /test/admin.php/Index/index/username/ruby97 | INFO: Tag[ app_begin ] --START--
[ 2014-11-10T10:22:54+08:00 ] /test/admin.php/Index/index/username/ruby97 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001431s ]
[ 2014-11-10T10:22:54+08:00 ] /test/admin.php/Index/index/username/ruby97 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001561s ]
[ 2014-11-10T10:22:54+08:00 ] /test/admin.php/Index/index/username/ruby97 | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.008570s ]
[ 2014-11-10T10:22:54+08:00 ] /test/admin.php/Index/index/username/ruby97 | SQL: SELECT COUNT(*) AS tp_count FROM `think_article` LIMIT 1   [ RunTime:0.003958s ]
[ 2014-11-10T10:22:54+08:00 ] /test/admin.php/Index/index/username/ruby97 | SQL: SELECT `id`,`subject`,`author`,`createtime` FROM `think_article` ORDER BY id desc LIMIT 0,8   [ RunTime:0.000871s ]
[ 2014-11-10T10:22:54+08:00 ] /test/admin.php/Index/index/username/ruby97 | NOTIC: [8] Undefined index:  lastmodifytime IndexAction.class.php 第 112 行.
[ 2014-11-10T10:22:54+08:00 ] /test/admin.php/Index/index/username/ruby97 | NOTIC: [8] Undefined index:  lastmodifytime IndexAction.class.php 第 112 行.
[ 2014-11-10T10:22:54+08:00 ] /test/admin.php/Index/index/username/ruby97 | NOTIC: [8] Undefined index:  lastmodifytime IndexAction.class.php 第 112 行.
[ 2014-11-10T10:22:54+08:00 ] /test/admin.php/Index/index/username/ruby97 | INFO: Tag[ view_template ] --START--
[ 2014-11-10T10:22:54+08:00 ] /test/admin.php/Index/index/username/ruby97 | INFO: Run LocationTemplate Behavior [ RunTime:0.002707s ]
[ 2014-11-10T10:22:54+08:00 ] /test/admin.php/Index/index/username/ruby97 | INFO: Tag[ view_template ] --END-- [ RunTime:0.002850s ]
[ 2014-11-10T10:22:54+08:00 ] /test/admin.php/Index/index/username/ruby97 | INFO: Tag[ view_parse ] --START--
[ 2014-11-10T10:22:54+08:00 ] /test/admin.php/Index/index/username/ruby97 | INFO: Run ParseTemplate Behavior [ RunTime:0.035037s ]
[ 2014-11-10T10:22:54+08:00 ] /test/admin.php/Index/index/username/ruby97 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.035207s ]
[ 2014-11-10T10:22:54+08:00 ] /test/admin.php/Index/index/username/ruby97 | INFO: Tag[ view_filter ] --START--
[ 2014-11-10T10:22:54+08:00 ] /test/admin.php/Index/index/username/ruby97 | INFO: Run ContentReplace Behavior [ RunTime:0.001317s ]
[ 2014-11-10T10:22:54+08:00 ] /test/admin.php/Index/index/username/ruby97 | INFO: Run TokenBuild Behavior [ RunTime:0.001276s ]
[ 2014-11-10T10:22:54+08:00 ] /test/admin.php/Index/index/username/ruby97 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000806s ]
[ 2014-11-10T10:22:54+08:00 ] /test/admin.php/Index/index/username/ruby97 | INFO: Run ShowRuntime Behavior [ RunTime:0.001260s ]
[ 2014-11-10T10:22:54+08:00 ] /test/admin.php/Index/index/username/ruby97 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005016s ]
[ 2014-11-10T10:22:54+08:00 ] /test/admin.php/Index/index/username/ruby97 | INFO: Tag[ view_end ] --START--
[ 2014-11-10T10:22:54+08:00 ] /test/admin.php/Index/index/username/ruby97 | INFO: Run ShowPageTrace Behavior [ RunTime:0.001441s ]
[ 2014-11-10T10:22:54+08:00 ] /test/admin.php/Index/index/username/ruby97 | INFO: Tag[ view_end ] --END-- [ RunTime:0.001602s ]
[ 2014-11-10T10:22:55+08:00 ] /test/admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Tag[ route_check ] --START--
[ 2014-11-10T10:22:55+08:00 ] /test/admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Run CheckRoute Behavior [ RunTime:0.002608s ]
[ 2014-11-10T10:22:55+08:00 ] /test/admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Tag[ route_check ] --END-- [ RunTime:0.002853s ]
[ 2014-11-10T10:22:55+08:00 ] /test/admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Tag[ app_begin ] --START--
[ 2014-11-10T10:22:55+08:00 ] /test/admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002927s ]
[ 2014-11-10T10:22:55+08:00 ] /test/admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003129s ]
[ 2014-11-10T10:22:55+08:00 ] /test/admin.php/Index/index/username/resources/images/closelabel.gif | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.024515s ]
