[ 2014-11-21T15:27:20+08:00 ] /test/index.php/Login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001469s ]
[ 2014-11-21T15:27:20+08:00 ] /test/index.php/Login/index | INFO: Run ShowRuntime Behavior [ RunTime:0.001355s ]
[ 2014-11-21T15:27:20+08:00 ] /test/index.php/Login/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005515s ]
[ 2014-11-21T15:27:20+08:00 ] /test/index.php/Login/index | INFO: Tag[ view_end ] --START--
[ 2014-11-21T15:27:20+08:00 ] /test/index.php/Login/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001353s ]
[ 2014-11-21T15:27:20+08:00 ] /test/index.php/Login/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001489s ]
[ 2014-11-21T15:27:20+08:00 ] /test/index.php/Common/verify/ | INFO: Tag[ route_check ] --START--
[ 2014-11-21T15:27:20+08:00 ] /test/index.php/Common/verify/ | INFO: Run CheckRoute Behavior [ RunTime:0.002551s ]
[ 2014-11-21T15:27:20+08:00 ] /test/index.php/Common/verify/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.002780s ]
[ 2014-11-21T15:27:20+08:00 ] /test/index.php/Common/verify/ | INFO: Tag[ app_begin ] --START--
[ 2014-11-21T15:27:20+08:00 ] /test/index.php/Common/verify/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001551s ]
[ 2014-11-21T15:27:20+08:00 ] /test/index.php/Common/verify/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001691s ]
[ 2014-11-21T15:27:22+08:00 ] /test/index.php/Login/sendmail/ | INFO: Tag[ route_check ] --START--
[ 2014-11-21T15:27:22+08:00 ] /test/index.php/Login/sendmail/ | INFO: Run CheckRoute Behavior [ RunTime:0.002547s ]
[ 2014-11-21T15:27:22+08:00 ] /test/index.php/Login/sendmail/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.002775s ]
[ 2014-11-21T15:27:22+08:00 ] /test/index.php/Login/sendmail/ | INFO: Tag[ app_begin ] --START--
[ 2014-11-21T15:27:22+08:00 ] /test/index.php/Login/sendmail/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002134s ]
[ 2014-11-21T15:27:22+08:00 ] /test/index.php/Login/sendmail/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002277s ]
[ 2014-11-21T15:27:23+08:00 ] /test/index.php/Login/sendmail/ | NOTIC: [2] mail() [<a href='function.mail'>function.mail</a>]: Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() class.phpmailer.php 第 677 行.
[ 2014-11-21T15:31:18+08:00 ] /test/index.php/Login/index | INFO: Tag[ route_check ] --START--
[ 2014-11-21T15:31:18+08:00 ] /test/index.php/Login/index | INFO: Run CheckRoute Behavior [ RunTime:0.005323s ]
[ 2014-11-21T15:31:18+08:00 ] /test/index.php/Login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.005559s ]
[ 2014-11-21T15:31:18+08:00 ] /test/index.php/Login/index | INFO: Tag[ app_begin ] --START--
[ 2014-11-21T15:31:18+08:00 ] /test/index.php/Login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003597s ]
[ 2014-11-21T15:31:18+08:00 ] /test/index.php/Login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003733s ]
[ 2014-11-21T15:31:18+08:00 ] /test/index.php/Login/index | INFO: Tag[ view_template ] --START--
[ 2014-11-21T15:31:18+08:00 ] /test/index.php/Login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.005335s ]
[ 2014-11-21T15:31:18+08:00 ] /test/index.php/Login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.005514s ]
[ 2014-11-21T15:31:18+08:00 ] /test/index.php/Login/index | INFO: Tag[ view_parse ] --START--
[ 2014-11-21T15:31:18+08:00 ] /test/index.php/Login/index | INFO: Run ParseTemplate Behavior [ RunTime:0.034637s ]
[ 2014-11-21T15:31:18+08:00 ] /test/index.php/Login/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.034812s ]
[ 2014-11-21T15:31:18+08:00 ] /test/index.php/Login/index | INFO: Tag[ view_filter ] --START--
[ 2014-11-21T15:31:18+08:00 ] /test/index.php/Login/index | INFO: Run ContentReplace Behavior [ RunTime:0.002592s ]
[ 2014-11-21T15:31:18+08:00 ] /test/index.php/Login/index | INFO: Run TokenBuild Behavior [ RunTime:0.002732s ]
[ 2014-11-21T15:31:18+08:00 ] /test/index.php/Login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002983s ]
[ 2014-11-21T15:31:18+08:00 ] /test/index.php/Login/index | INFO: Run ShowRuntime Behavior [ RunTime:0.002913s ]
[ 2014-11-21T15:31:18+08:00 ] /test/index.php/Login/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.011565s ]
[ 2014-11-21T15:31:18+08:00 ] /test/index.php/Login/index | INFO: Tag[ view_end ] --START--
[ 2014-11-21T15:31:18+08:00 ] /test/index.php/Login/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.002965s ]
[ 2014-11-21T15:31:18+08:00 ] /test/index.php/Login/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.003084s ]
[ 2014-11-21T15:31:18+08:00 ] /test/index.php/Common/verify/ | INFO: Tag[ route_check ] --START--
[ 2014-11-21T15:31:18+08:00 ] /test/index.php/Common/verify/ | INFO: Run CheckRoute Behavior [ RunTime:0.002311s ]
[ 2014-11-21T15:31:18+08:00 ] /test/index.php/Common/verify/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.002524s ]
[ 2014-11-21T15:31:18+08:00 ] /test/index.php/Common/verify/ | INFO: Tag[ app_begin ] --START--
[ 2014-11-21T15:31:18+08:00 ] /test/index.php/Common/verify/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001425s ]
[ 2014-11-21T15:31:18+08:00 ] /test/index.php/Common/verify/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001547s ]
[ 2014-11-21T15:34:13+08:00 ] /test/index.php/Login/index | INFO: Tag[ route_check ] --START--
[ 2014-11-21T15:34:13+08:00 ] /test/index.php/Login/index | INFO: Run CheckRoute Behavior [ RunTime:0.004613s ]
[ 2014-11-21T15:34:13+08:00 ] /test/index.php/Login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.004899s ]
[ 2014-11-21T15:34:13+08:00 ] /test/index.php/Login/index | INFO: Tag[ app_begin ] --START--
[ 2014-11-21T15:34:13+08:00 ] /test/index.php/Login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.004159s ]
[ 2014-11-21T15:34:13+08:00 ] /test/index.php/Login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004298s ]
[ 2014-11-21T15:34:13+08:00 ] /test/index.php/Login/index | INFO: Tag[ view_template ] --START--
[ 2014-11-21T15:34:13+08:00 ] /test/index.php/Login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.004777s ]
[ 2014-11-21T15:34:13+08:00 ] /test/index.php/Login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.004936s ]
[ 2014-11-21T15:34:13+08:00 ] /test/index.php/Login/index | INFO: Tag[ view_parse ] --START--
[ 2014-11-21T15:34:13+08:00 ] /test/index.php/Login/index | INFO: Run ParseTemplate Behavior [ RunTime:0.036235s ]
[ 2014-11-21T15:34:13+08:00 ] /test/index.php/Login/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.036414s ]
